Unnamed: 0,Age_Group_18-25,Age_Group_26-35,Age_Group_36-45,Age_Group_46-55,Age_Group_56-65,Gender_Female,Gender_Male,Avg_Transaction_Amount,Add_to_Cart,Browse,Login,Purchase,Label
26,False,False,True,False,False,True,False,292.6008115405517,2,6,3,1,No Fraud
27,False,False,False,False,False,True,False,795.9777784530595,4,7,2,4,No Fraud
28,False,False,False,False,False,False,True,388.31614738626484,3,7,2,1,No Fraud
29,True,False,False,False,False,False,False,257.5996923644718,0,1,4,1,No Fraud
30,False,False,True,False,False,False,False,668.4761709325119,3,8,1,6,No Fraud
31,False,False,False,False,False,True,False,181.40830029131536,3,6,4,1,Fraud
32,False,False,False,False,True,False,False,974.2174075774494,3,7,1,2,No Fraud
33,False,False,True,False,False,False,True,669.1575379709233,4,2,4,6,Fraud
34,False,True,False,False,False,True,False,987.3059688295803,1,7,4,4,No Fraud
35,True,False,False,False,False,True,False,405.0040811307724,2,8,2,3,Fraud
36,False,True,False,False,False,False,True,974.0846450713581,4,5,3,6,No Fraud
37,False,False,False,False,False,True,False,231.00602295576124,4,1,3,5,No Fraud
38,True,False,False,False,False,True,False,136.6252951123256,2,6,4,5,No Fraud
39,False,False,False,False,False,False,True,129.6856544091423,3,3,2,6,No Fraud
40,False,True,False,False,False,True,False,518.3833335393044,0,5,1,5,No Fraud
41,True,False,False,False,False,True,False,174.70377773073528,3,9,4,6,No Fraud
42,False,False,False,False,False,False,True,560.9510957508415,3,7,1,3,No Fraud
43,False,False,False,False,False,False,False,394.75045315801043,1,8,1,1,No Fraud
44,False,False,True,False,False,False,True,402.066093226704,3,6,2,4,Fraud
45,False,False,False,False,False,False,False,672.0480968906528,0,9,2,5,Fraud
46,False,False,False,False,True,False,True,246.78820553645815,4,3,3,2,Fraud
47,False,False,True,False,False,False,False,789.898033305758,3,1,2,2,No Fraud
48,False,False,False,False,True,False,False,623.8278278007713,4,4,4,4,No Fraud
49,False,False,False,False,False,False,False,923.4501659627598,1,8,4,5,No Fraud
50,False,False,False,False,True,False,True,428.35658839077104,0,6,1,1,No Fraud
51,False,False,False,False,True,True,False,984.443492860413,2,7,3,5,No Fraud
52,False,False,True,False,False,True,False,618.2448820426209,2,9,1,1,No Fraud
53,False,False,False,False,False,True,False,976.0617605687804,1,2,1,5,No Fraud
54,False,False,False,False,False,True,False,124.3545886424038,0,7,3,2,Fraud
55,False,False,False,False,False,True,False,755.1786901711491,4,4,1,3,No Fraud
56,False,False,False,True,False,False,False,834.9593718634626,1,7,3,6,No Fraud
57,True,False,False,False,False,False,False,147.85595800883883,3,8,1,4,No Fraud
58,True,False,False,False,False,True,False,621.0726976146211,4,2,1,1,No Fraud
59,False,False,False,False,True,True,False,821.7480642305035,3,7,3,3,Fraud
60,True,False,False,False,False,True,False,604.9348527007655,3,8,4,1,Fraud
61,False,False,False,False,False,False,False,157.43223136491997,4,1,1,4,No Fraud
62,False,True,False,False,False,False,False,724.1025168084803,3,5,1,3,No Fraud
63,False,False,True,False,False,False,False,154.53722320597777,2,9,4,3,Fraud
64,False,False,False,False,False,False,True,835.7220055147947,4,2,3,6,Fraud
65,False,False,False,False,False,False,True,138.73076497602494,1,6,3,6,Fraud
66,False,False,True,False,False,True,False,223.65764290933373,2,2,4,4,No Fraud
67,True,False,False,False,False,True,False,347.59683147094165,1,3,3,4,No Fraud
68,False,False,True,False,False,True,False,670.02831303472,0,6,2,1,No Fraud
69,False,False,True,False,False,False,False,978.7231896681753,1,5,1,3,No Fraud
70,False,False,False,True,False,False,False,206.04056735794097,4,4,3,4,Fraud
71,False,True,False,False,False,True,False,228.43690229252658,1,7,4,6,Fraud
72,False,False,False,False,False,False,True,431.9833570308823,0,3,1,1,No Fraud
73,False,False,False,True,False,False,True,852.5972239797882,3,7,4,5,No Fraud
74,True,False,False,False,False,False,True,520.5078574757327,4,9,3,6,No Fraud
75,False,False,True,False,False,False,False,389.4495402302395,2,2,4,4,No Fraud
76,True,False,False,False,False,True,False,605.0834489879751,2,5,4,6,Fraud
77,False,False,True,False,False,True,False,334.470877701175,1,1,1,6,No Fraud
78,False,False,False,False,False,True,False,461.0439165227688,2,7,1,3,No Fraud
79,False,False,False,False,False,False,True,399.34463430883767,0,2,3,5,Fraud
80,True,False,False,False,False,True,False,823.7269201731813,2,5,4,4,Fraud
81,False,False,True,False,False,False,False,931.8301537942007,1,1,4,2,No Fraud
82,False,False,False,False,False,True,False,783.6149729412207,2,1,3,3,Fraud
83,False,False,False,False,False,True,False,495.17521842698517,3,4,4,6,No Fraud
84,False,False,True,False,False,True,False,553.9014797469974,3,7,4,3,No Fraud
85,False,False,False,False,True,False,False,212.56632453649212,2,7,4,1,Fraud
86,True,False,False,False,False,True,False,772.178240021084,4,8,4,2,No Fraud
87,False,True,False,False,False,False,True,636.8281114555397,2,9,2,4,No Fraud
88,True,False,False,False,False,True,False,912.1959965236928,3,4,3,2,Fraud
89,False,False,False,False,True,True,False,280.55002921763787,3,2,3,6,No Fraud
90,False,False,False,False,True,True,False,783.7535097393509,0,3,4,4,No Fraud
91,False,True,False,False,False,False,True,716.2044955472708,1,9,3,1,Fraud
92,True,False,False,False,False,True,False,339.260980428777,0,8,2,6,Fraud
93,False,False,False,False,False,True,False,700.6407755867426,4,6,4,6,No Fraud
94,True,False,False,False,False,False,True,931.9360425189846,1,3,1,5,No Fraud
95,False,True,False,False,False,True,False,926.592388900407,2,8,2,2,No Fraud
96,False,False,False,False,False,False,False,747.6639170645271,2,2,1,3,Fraud
97,False,True,False,False,False,True,False,143.2658012806541,4,4,3,4,No Fraud
98,False,False,False,True,False,True,False,885.0379035881454,3,4,3,2,No Fraud
99,False,False,True,False,False,True,False,692.000746304086,2,9,3,4,No Fraud
100,False,False,False,False,False,True,False,379.390827864461,0,8,4,2,No Fraud
101,True,False,False,False,False,False,False,268.52532553512935,3,7,2,3,No Fraud
102,False,False,False,False,True,False,False,204.5834766975854,2,4,2,4,No Fraud
103,True,False,False,False,False,False,False,145.2132093319849,3,7,4,4,Fraud
104,False,False,False,False,False,True,False,778.6929231556808,1,1,4,5,No Fraud
105,False,False,False,True,False,True,False,312.2586990489478,2,8,3,1,No Fraud
106,False,False,False,False,False,True,False,121.82764243892956,2,8,2,2,No Fraud
107,False,False,False,False,True,False,True,457.54358665779034,3,9,3,3,No Fraud
108,False,False,False,False,False,True,False,534.3463725331051,1,9,2,5,No Fraud
109,False,True,False,False,False,False,True,252.30720781011422,0,1,4,5,No Fraud
110,False,False,False,False,False,False,True,139.6435025462948,1,7,3,1,No Fraud
111,False,True,False,False,False,False,False,270.212934788262,0,1,2,3,Fraud
112,False,False,True,False,False,True,False,711.192485652917,4,6,4,6,Fraud
113,False,False,False,False,False,True,False,174.01930952608575,1,5,1,2,No Fraud
114,False,False,False,False,False,True,False,599.5333275012945,0,2,3,4,No Fraud
115,False,True,False,False,False,True,False,231.77078911735,3,3,2,1,No Fraud
116,False,False,False,False,False,True,False,276.1202562223774,0,8,2,4,Fraud
117,False,True,False,False,False,True,False,453.7700949400288,4,2,3,5,No Fraud
118,True,False,False,False,False,False,True,190.7428024483582,0,4,2,4,Fraud
119,False,False,True,False,False,True,False,255.88315250399157,1,3,1,2,No Fraud
120,True,False,False,False,False,False,True,414.0571703062187,0,7,1,6,No Fraud
121,False,False,False,False,False,True,False,396.7021049485302,1,8,2,2,No Fraud
122,True,False,False,False,False,True,False,774.3443371081587,4,4,3,6,No Fraud
123,False,True,False,False,False,True,False,167.30407461378192,0,6,2,4,No Fraud
124,True,False,False,False,False,True,False,874.405662099709,0,3,2,4,Fraud
125,False,False,False,True,False,False,False,834.6089536655094,4,7,1,1,No Fraud
126,False,False,False,False,True,True,False,789.3924757227445,0,8,4,6,No Fraud
127,False,False,False,False,False,False,True,378.43512621681924,1,7,4,2,No Fraud
128,True,False,False,False,False,False,False,840.5936069867088,2,4,2,4,No Fraud
129,False,False,False,False,False,False,False,264.5218722603527,2,9,3,3,No Fraud
130,True,False,False,False,False,False,True,211.9682852695254,1,8,1,1,No Fraud
131,True,False,False,False,False,True,False,140.46070014053862,0,6,4,1,No Fraud
132,False,False,False,False,True,False,False,945.3793267050183,1,2,2,1,No Fraud
133,True,False,False,False,False,True,False,377.2098079347463,4,7,3,1,Fraud
134,True,False,False,False,False,True,False,925.8560921601153,1,9,1,6,No Fraud
135,False,True,False,False,False,False,True,345.3522053673967,2,9,4,6,Fraud
136,False,False,True,False,False,True,False,916.8093634027146,3,9,4,4,Fraud
137,False,False,False,False,True,False,False,913.5361475614794,4,9,4,5,No Fraud
138,False,False,False,False,True,True,False,931.3084405096416,0,6,3,3,Fraud
139,False,False,False,True,False,True,False,546.5380953557744,1,1,3,5,Fraud
140,False,True,False,False,False,False,False,879.3516581190028,4,6,3,5,Fraud
141,False,False,False,False,False,False,False,955.6893065505882,2,5,2,4,No Fraud
142,False,False,False,False,False,False,False,392.1552477074615,0,7,1,1,Fraud
143,False,False,False,True,False,False,True,476.98696511429955,1,8,2,1,No Fraud
144,False,True,False,False,False,True,False,747.3161686021696,1,1,1,4,No Fraud
145,False,True,False,False,False,True,False,370.3238395509708,0,4,3,4,No Fraud
146,True,False,False,False,False,True,False,778.4283780213931,3,4,4,6,Fraud
147,False,False,False,False,False,False,True,166.50293069218054,3,1,3,2,No Fraud
148,False,False,False,False,False,True,False,571.148545859688,4,4,2,1,No Fraud
149,False,False,False,False,False,True,False,210.0821356753707,1,7,3,3,No Fraud
150,True,False,False,False,False,False,True,363.9911287930088,4,6,3,2,No Fraud
151,False,False,False,False,False,False,False,332.76285323782474,0,4,3,5,Fraud
152,True,False,False,False,False,False,True,855.0388662063995,4,2,4,6,No Fraud
153,False,False,False,False,False,True,False,274.1655298655777,1,7,1,6,Fraud
154,True,False,False,False,False,False,False,827.6031281432071,3,8,1,1,No Fraud
155,True,False,False,False,False,True,False,814.5643113171298,3,9,2,4,Fraud
156,False,False,False,False,True,False,True,548.9947500015069,0,9,1,4,No Fraud
157,False,False,False,False,False,True,False,310.4589300365167,2,4,3,4,No Fraud
158,True,False,False,False,False,True,False,304.2067059606004,4,3,4,1,No Fraud
159,False,False,False,False,False,False,True,518.432182404263,0,5,3,6,No Fraud
160,False,True,False,False,False,True,False,107.92810665416468,3,6,3,3,No Fraud
161,False,False,False,False,True,False,True,578.2156791502296,1,8,2,4,Fraud
162,False,False,True,False,False,True,False,957.5015731903499,1,3,3,6,No Fraud
163,False,False,False,True,False,True,False,239.23619367633685,2,6,3,1,No Fraud
164,False,True,False,False,False,False,True,616.0110593280431,2,5,2,5,No Fraud
165,False,False,False,False,False,False,True,965.6008197800111,3,7,1,2,No Fraud
166,False,False,True,False,False,False,False,874.4699255424401,2,9,1,1,Fraud
167,False,False,False,False,False,True,False,865.3421047432063,2,7,1,1,No Fraud
168,True,False,False,False,False,True,False,839.6649373565701,1,6,2,6,No Fraud
169,False,True,False,False,False,True,False,378.1212454505671,4,9,2,4,No Fraud
170,True,False,False,False,False,True,False,901.555148140131,1,4,4,2,No Fraud
171,True,False,False,False,False,False,True,947.2063161098539,1,1,4,2,No Fraud
172,False,False,False,False,False,True,False,546.2131809691355,3,8,3,4,No Fraud
173,False,True,False,False,False,False,True,419.1139425335129,3,6,3,3,No Fraud
174,False,False,False,False,True,False,False,472.80611404527053,4,6,2,1,No Fraud
175,True,False,False,False,False,True,False,400.785797648139,0,5,2,4,No Fraud
176,False,False,True,False,False,True,False,291.1765978220861,2,3,4,6,No Fraud
177,True,False,False,False,False,True,False,656.6036232276005,2,6,3,3,No Fraud
178,False,False,False,False,False,True,False,606.3371976207907,1,1,3,4,No Fraud
179,False,False,False,True,False,False,False,516.3265639353481,1,7,3,5,Fraud
180,False,True,False,False,False,False,True,186.2608480163486,4,6,1,3,No Fraud
181,False,False,False,False,False,True,False,817.2036682353998,2,5,4,6,Fraud
182,False,False,False,False,False,False,False,257.4402064757103,1,3,1,3,No Fraud
183,False,False,False,False,True,False,True,203.10583905644333,1,8,3,2,No Fraud
184,False,False,False,False,False,True,False,660.7642559346527,3,4,2,1,Fraud
185,True,False,False,False,False,False,False,458.77992511395087,0,9,4,4,No Fraud
186,True,False,False,False,False,False,False,153.82762781709653,4,9,1,6,No Fraud
187,False,True,False,False,False,True,False,420.0115194649524,0,5,3,6,No Fraud
188,False,False,False,False,False,False,True,794.6023170564665,0,7,1,4,Fraud
189,True,False,False,False,False,True,False,653.7242846953878,4,6,2,1,No Fraud
190,False,False,True,False,False,True,False,426.50742068829715,2,6,4,6,Fraud
191,False,False,True,False,False,True,False,272.62431247112926,1,4,2,6,Fraud
192,True,False,False,False,False,True,False,668.616058724296,4,8,2,1,Fraud
193,False,False,False,False,False,False,True,898.7997708517197,1,3,4,6,Fraud
194,False,False,False,False,True,True,False,681.6454462143224,3,5,3,6,No Fraud
195,False,False,True,False,False,False,False,831.6134691852018,0,1,3,6,No Fraud
196,False,False,True,False,False,False,False,569.3750546989339,3,1,1,2,No Fraud
197,False,False,False,False,False,False,True,746.173996066926,0,9,3,1,No Fraud
198,False,False,False,False,False,True,False,906.6040964005172,2,4,3,5,No Fraud
199,True,False,False,False,False,True,False,795.8610804327895,4,9,3,2,Fraud
200,True,False,False,False,False,True,False,918.8685580583311,2,7,1,3,No Fraud
201,False,False,False,False,False,True,False,488.02564190445383,0,8,4,1,No Fraud
202,False,False,False,True,False,True,False,913.7982296143509,3,9,3,3,Fraud
203,False,True,False,False,False,False,True,659.4105110335369,0,1,2,2,No Fraud
204,False,False,False,False,False,True,False,883.0438894735244,2,7,3,6,No Fraud
205,False,False,False,False,False,True,False,135.43887739405187,2,8,3,5,Fraud
206,True,False,False,False,False,True,False,692.0671437221825,3,2,4,5,Fraud
207,False,False,False,True,False,True,False,863.1775709901088,3,9,2,1,No Fraud
208,False,False,False,False,False,False,True,256.78183027887974,2,1,1,5,No Fraud
209,False,False,True,False,False,True,False,695.6082401184308,0,3,3,6,No Fraud
210,False,False,False,False,False,False,False,842.4592427949683,0,9,3,4,No Fraud
211,False,False,False,False,False,False,True,359.15443266937336,4,1,3,6,No Fraud
212,False,False,False,False,False,False,True,464.7216951157528,2,4,3,2,No Fraud
213,False,False,True,False,False,True,False,612.5659466492974,4,6,2,6,No Fraud
214,False,False,True,False,False,False,True,567.250919996106,2,6,4,5,No Fraud
215,False,False,False,False,False,False,False,135.27045373342207,4,4,4,2,No Fraud
216,False,True,False,False,False,True,False,188.80488827687208,1,1,3,2,No Fraud
217,False,False,True,False,False,False,True,190.41992137392518,0,5,1,6,Fraud
218,False,False,False,False,False,True,False,336.04111494925746,0,5,2,6,Fraud
219,True,False,False,False,False,False,False,321.2777015222043,1,3,2,4,No Fraud
220,True,False,False,False,False,True,False,768.0001454081197,3,3,1,6,No Fraud
221,True,False,False,False,False,True,False,615.4699474145301,1,4,3,6,No Fraud
222,False,False,False,False,False,True,False,787.5784761807171,0,3,3,1,No Fraud
223,False,True,False,False,False,False,False,162.9064516697831,2,3,3,2,No Fraud
224,False,False,False,False,False,False,False,536.6928137244406,4,3,1,4,Fraud
225,False,True,False,False,False,False,True,391.3980213387425,0,7,2,5,No Fraud
226,False,False,True,False,False,True,False,864.9453796801718,1,9,4,3,No Fraud
227,True,False,False,False,False,False,False,737.0102412189129,2,1,3,1,No Fraud
228,False,False,False,False,False,False,True,882.3326237441166,0,8,1,6,No Fraud
229,False,False,False,False,False,False,True,141.78441016545406,1,1,1,3,Fraud
230,False,False,False,False,False,True,False,748.7411406099404,0,9,3,4,No Fraud
231,False,True,False,False,False,True,False,586.0075169436202,1,8,1,2,No Fraud
232,False,True,False,False,False,True,False,842.5000261140092,1,6,3,4,Fraud
233,False,False,False,True,False,True,False,556.4445318332389,0,6,3,1,No Fraud
234,False,False,False,False,False,True,False,586.1881701117181,2,7,3,1,No Fraud
235,False,False,True,False,False,True,False,146.59064284785862,0,8,2,5,No Fraud
236,False,False,False,False,True,False,True,701.67057853237,0,7,1,4,Fraud
237,False,False,True,False,False,False,True,345.825888044545,2,1,4,1,No Fraud
238,True,False,False,False,False,False,False,117.72452996093844,0,4,2,4,No Fraud
239,False,False,False,False,True,True,False,159.79344625542706,4,4,3,5,No Fraud
240,False,True,False,False,False,False,False,961.5570480694231,4,9,1,5,No Fraud
241,False,False,False,False,False,True,False,411.4695606218623,4,9,4,4,No Fraud
242,False,False,True,False,False,False,True,881.268065759043,1,3,3,6,Fraud
243,False,True,False,False,False,False,True,963.7095106623303,3,9,1,1,No Fraud
244,False,True,False,False,False,False,False,948.9404699535904,0,5,3,2,Fraud
245,False,False,False,False,False,False,True,893.5527166294781,3,6,4,6,No Fraud
246,False,False,False,True,False,False,True,905.3595212151708,4,7,1,2,Fraud
247,False,False,False,False,True,True,False,360.10723990685636,2,3,4,6,Fraud
248,False,False,False,False,False,False,True,236.32290123432244,4,4,3,5,No Fraud
249,False,True,False,False,False,False,False,675.3363058791313,0,5,3,1,No Fraud
250,False,False,True,False,False,False,False,539.2950326819414,3,1,4,5,No Fraud
251,False,False,False,True,False,True,False,188.87204682565394,3,8,2,5,No Fraud
252,False,False,False,False,True,True,False,709.7871844201698,1,7,2,5,No Fraud
253,True,False,False,False,False,True,False,606.574006736296,2,2,1,5,Fraud
254,False,False,False,True,False,True,False,876.7606607293952,4,7,1,4,No Fraud
255,True,False,False,False,False,True,False,648.2654161195588,2,9,2,4,No Fraud
256,False,False,False,True,False,False,True,616.5515617495782,0,5,4,1,No Fraud
257,False,True,False,False,False,False,False,496.67655099936513,1,6,3,6,Fraud
258,False,True,False,False,False,False,False,516.5083628999832,4,5,3,1,No Fraud
259,False,True,False,False,False,True,False,958.9431042812045,0,1,1,3,No Fraud
260,True,False,False,False,False,True,False,224.6014084602154,2,6,1,2,No Fraud
261,False,False,False,False,False,False,True,501.59693672396844,1,7,3,4,No Fraud
262,True,False,False,False,False,True,False,690.2445105341585,4,5,2,1,Fraud
263,False,False,False,True,False,False,False,489.7095810313596,2,3,1,6,No Fraud
264,False,True,False,False,False,False,True,354.894064336682,4,6,3,5,Fraud
265,False,True,False,False,False,True,False,358.62163368656934,1,7,1,4,No Fraud
266,False,False,False,False,False,True,False,310.2904416319442,1,9,2,2,No Fraud
267,False,True,False,False,False,False,True,409.5128805247807,2,7,4,4,No Fraud
268,False,False,False,False,False,True,False,884.5072980252103,4,3,1,6,Fraud
269,False,False,False,False,True,True,False,554.7020952906956,3,1,3,2,No Fraud
270,False,False,False,False,False,True,False,316.2148552700366,0,7,2,3,No Fraud
271,False,False,False,False,False,False,True,446.07404532387915,1,8,3,1,Fraud
272,False,False,False,False,False,False,True,195.24737087071122,4,1,2,6,No Fraud
273,True,False,False,False,False,False,False,913.6321657648641,2,5,4,2,No Fraud
274,False,True,False,False,False,True,False,467.3780488822888,2,8,4,3,No Fraud
275,False,False,False,False,False,False,False,982.3520841337681,1,7,3,6,No Fraud
276,True,False,False,False,False,True,False,412.78489593626733,1,2,4,6,No Fraud
277,False,False,True,False,False,False,False,852.720442504409,3,4,1,4,No Fraud
278,False,True,False,False,False,True,False,330.74678196230786,2,6,2,1,No Fraud
279,False,False,False,False,False,False,False,168.537604039842,4,7,2,2,No Fraud
280,True,False,False,False,False,True,False,128.56002550642063,0,7,2,6,No Fraud
281,False,False,False,False,False,True,False,645.5515839803052,0,3,4,6,No Fraud
282,False,True,False,False,False,False,True,380.41630450623046,3,8,4,2,No Fraud
283,False,True,False,False,False,True,False,499.1678924282455,4,7,1,6,No Fraud
284,False,False,True,False,False,True,False,836.7823320407158,0,4,4,1,No Fraud
285,False,True,False,False,False,False,True,323.2972771253219,0,4,2,6,No Fraud
286,False,False,False,False,True,False,False,377.78722906142195,4,4,1,4,No Fraud
287,True,False,False,False,False,True,False,860.8025665528005,4,5,1,4,No Fraud
288,False,True,False,False,False,False,False,543.4860460091536,1,2,2,5,No Fraud
289,True,False,False,False,False,False,True,844.8986503472388,0,9,3,6,Fraud
290,False,False,False,False,True,False,False,437.02840311968475,0,6,4,4,No Fraud
291,False,False,False,False,False,False,False,458.53298274439766,3,8,4,1,No Fraud
292,False,False,True,False,False,True,False,250.42452560043063,1,1,2,3,No Fraud
293,True,False,False,False,False,True,False,924.7112682354697,1,6,3,1,No Fraud
294,False,False,False,False,False,False,True,907.1053246113486,0,6,4,2,Fraud
295,False,False,False,False,False,True,False,985.7953131082961,2,8,3,6,No Fraud
296,False,True,False,False,False,True,False,462.20241445274036,2,1,2,5,No Fraud
297,False,False,False,False,False,False,False,836.7534475827779,4,5,2,5,No Fraud
298,False,False,False,True,False,False,False,473.4583585049067,1,3,3,3,No Fraud
299,False,False,False,False,False,False,False,508.86891002887546,0,6,2,6,No Fraud
300,False,False,True,False,False,False,True,846.9994542353421,0,9,2,2,No Fraud
301,False,False,False,False,False,True,False,259.63009379775974,0,3,1,4,No Fraud
302,False,False,False,True,False,True,False,298.27984101557706,3,9,3,4,No Fraud
303,True,False,False,False,False,True,False,383.2554163562335,2,9,4,4,No Fraud
304,True,False,False,False,False,False,True,809.3611292500517,3,1,4,1,Fraud
305,False,False,False,False,False,True,False,435.3863944312745,0,2,1,4,No Fraud
306,False,False,False,False,False,True,False,422.3513874526854,0,4,2,2,Fraud
307,True,False,False,False,False,True,False,998.9347107297176,1,7,2,5,No Fraud
308,False,True,False,False,False,True,False,445.42552878953154,1,2,1,1,No Fraud
309,False,False,False,True,False,False,False,322.9934826840283,2,7,1,4,No Fraud
310,False,False,False,False,False,True,False,660.8923103808489,4,5,2,2,Fraud
311,False,False,False,False,False,False,False,821.6919567595007,0,7,3,3,No Fraud
312,False,False,False,False,False,False,True,162.64705035084333,1,9,1,2,No Fraud
313,False,False,True,False,False,False,True,657.0030080246275,2,9,3,5,No Fraud
314,False,True,False,False,False,True,False,132.16191029220226,3,3,4,2,No Fraud
315,True,False,False,False,False,True,False,573.6991158815661,0,3,2,2,Fraud
316,False,False,False,False,False,True,False,331.2924073820283,4,7,3,1,No Fraud
317,True,False,False,False,False,True,False,375.97752790586713,2,5,3,5,Fraud
318,False,False,True,False,False,True,False,520.3863675841444,4,5,2,4,No Fraud
319,False,False,True,False,False,False,False,934.3967146710283,0,5,2,5,Fraud
320,True,False,False,False,False,True,False,739.6005759290888,2,9,4,3,No Fraud
321,False,True,False,False,False,True,False,943.1610366560467,1,4,2,6,Fraud
322,False,False,False,False,False,True,False,693.9739041028099,4,6,3,5,No Fraud
323,False,False,False,False,False,False,True,106.3969723790737,3,6,1,1,Fraud
324,False,True,False,False,False,True,False,339.02667761290985,3,7,2,4,No Fraud
325,False,False,False,True,False,False,False,915.1953199483365,4,2,2,5,No Fraud
326,False,False,False,False,False,True,False,679.1009688709703,0,6,1,6,Fraud
327,False,False,True,False,False,True,False,983.4825129132473,0,9,2,4,Fraud
328,False,False,False,False,True,False,False,240.36761729646605,0,3,2,1,Fraud
329,False,True,False,False,False,True,False,367.07304979586746,3,2,1,2,Fraud
330,True,False,False,False,False,True,False,426.13089356533266,3,8,3,6,Fraud
331,False,False,False,False,False,True,False,393.9020363505795,1,1,4,3,No Fraud
332,False,False,False,False,False,False,False,326.7923771348926,0,8,4,5,No Fraud
333,False,False,False,True,False,True,False,499.11914418110007,3,5,4,4,No Fraud
334,False,False,False,False,False,True,False,678.068311032434,3,9,3,5,Fraud
335,False,True,False,False,False,False,True,380.13123059802643,0,9,4,1,Fraud
336,False,False,False,False,True,True,False,171.72993098283013,0,4,3,2,No Fraud
337,False,False,False,False,False,True,False,737.6792742038471,3,1,2,1,No Fraud
338,True,False,False,False,False,True,False,513.1149002031418,4,5,4,6,Fraud
339,True,False,False,False,False,True,False,600.834075481057,3,7,1,4,No Fraud
340,False,False,False,False,False,True,False,509.8605914475236,1,9,3,5,Fraud
341,True,False,False,False,False,True,False,901.3217531094192,2,9,4,4,Fraud
342,True,False,False,False,False,True,False,602.8704974497421,0,9,1,6,No Fraud
343,False,True,False,False,False,True,False,930.9491558665748,1,6,4,6,Fraud
344,True,False,False,False,False,False,True,559.5178074004002,4,2,3,1,No Fraud
345,True,False,False,False,False,True,False,363.3293460162536,2,5,3,5,No Fraud
346,False,False,False,False,True,False,False,419.89832845857694,3,3,2,4,No Fraud
347,False,False,True,False,False,False,True,569.916364226307,0,6,3,5,No Fraud
348,False,False,False,True,False,True,False,576.9904940245078,3,5,4,3,Fraud
349,False,True,False,False,False,True,False,718.6039313940539,1,1,3,1,No Fraud
350,False,False,True,False,False,False,True,302.0453849679677,0,2,1,1,No Fraud
351,False,False,False,True,False,False,False,692.9586099689516,3,5,2,3,No Fraud
352,False,False,True,False,False,True,False,800.729207542677,0,6,2,2,Fraud
353,False,False,False,False,False,True,False,708.9327905202911,1,1,3,6,No Fraud
354,False,False,False,False,False,True,False,533.6452988358317,3,7,4,4,No Fraud
355,False,False,False,False,False,True,False,992.5125860051506,2,3,2,2,No Fraud
356,True,False,False,False,False,False,False,464.3318432162946,4,1,4,5,No Fraud
357,False,False,False,True,False,True,False,195.9315531218463,3,7,4,4,No Fraud
358,True,False,False,False,False,True,False,839.3537938666087,0,7,1,4,No Fraud
359,True,False,False,False,False,False,True,290.98109699237637,3,3,2,6,Fraud
360,False,False,False,False,False,False,True,741.9570156121979,0,6,3,4,Fraud
361,False,False,True,False,False,False,True,261.0786544436133,1,4,4,3,No Fraud
362,False,False,False,True,False,True,False,115.18965177214544,4,4,2,1,No Fraud
363,False,False,False,False,False,False,True,243.8187434101231,0,9,2,3,Fraud
364,False,True,False,False,False,False,False,439.2898269182397,3,7,4,3,Fraud
365,False,True,False,False,False,True,False,195.95642241681844,1,6,3,3,Fraud
